time_step,SI,S2,S3,SY1_G,SY1_L,SY2_G,SY2_L,SY3_G,SY3L,BawY,BY_G,BY_L
58,1.7915,0,0,0,0.0017915,0,0,0,0,-1.07857,0.00107857,0
59,0.962614,0,0,0,0.000962614,0,0,0,0,-4.86027,0.00486027,0
60,0.637429,0,0,0,0.000637429,0,0,0,0,-6.51412,0.00651412,0
61,2.79959,0.222661,0.222661,0,0.00279959,0,0.000222661,0,0.000222661,4.45323,0,0.00445323
62,4.1083,0.410447,0.410447,0,0.0041083,0,0.000410447,0,0.000410447,7.41867,0,0.00741867
63,5.45315,9.86316,9.86316,0,0.00545315,0,0.00986316,0,0.00986316,9.86316,0,0.00986316
64,8.15054,11.7107,11.7107,0,0.00815054,0,0.0117107,0,0.0117107,11.7107,0,0.0117107
65,14.9754,16.0642,16.0642,0,0.0149754,0,0.0160642,0,0.0160642,16.0642,0,0.0160642
66,16.5987,16.8744,16.8744,0,0.0165987,0,0.0168744,0,0.0168744,16.8744,0,0.0168744
67,15.8739,15.8739,15.8739,0,0.0158739,0,0.0158739,0,0.0158739,15.8739,0,0.0158739
68,14.6778,14.6778,14.6778,0,0.0146778,0,0.0146778,0,0.0146778,14.6778,0,0.0146778
69,13.8676,13.8676,13.8676,0,0.0138676,0,0.0138676,0,0.0138676,13.8676,0,0.0138676
70,12.398,12.398,12.398,0,0.012398,0,0.012398,0,0.012398,12.398,0,0.012398
71,10.7312,10.7312,10.7312,0,0.0107312,0,0.0107312,0,0.0107312,10.7312,0,0.0107312
72,8.47991,8.47991,8.47991,0,0.00847991,0,0.00847991,0,0.00847991,8.47991,0,0.00847991
73,6.66401,6.66401,6.66401,0,0.00666401,0,0.00666401,0,0.00666401,6.66401,0,0.00666401
74,5.90333,5.90333,5.90333,0,0.00590333,0,0.00590333,0,0.00590333,5.90333,0,0.00590333
75,5.30004,5.30004,5.30004,0,0.00530004,0,0.00530004,0,0.00530004,5.30004,0,0.00530004
76,5.32851,5.32851,5.32851,0,0.00532851,0,0.00532851,0,0.00532851,5.32851,0,0.00532851
77,5.52786,5.52786,5.52786,0,0.00552786,0,0.00552786,0,0.00552786,5.52786,0,0.00552786
78,6.62579,6.62579,6.62579,0,0.00662579,0,0.00662579,0,0.00662579,6.62579,0,0.00662579
79,8.06778,8.06778,8.06778,0,0.00806778,0,0.00806778,0,0.00806778,8.06778,0,0.00806778
80,7.96433,7.96433,7.96433,0,0.00796433,0,0.00796433,0,0.00796433,7.96433,0,0.00796433
81,5.07353,5.07353,5.07353,0,0.00507353,0,0.00507353,0,0.00507353,5.07353,0,0.00507353
82,3.33888,3.10336,3.10336,0,0.00333888,0,0.00310336,0,0.00310336,3.10336,0,0.00310336
83,1.74542,0,0,0,0.00174542,0,0,0,0,-1.2898,0.0012898,0
84,2.56941,0.616228,0.616228,0,0.00256941,0,0.000616228,0,0.000616228,1.78027,0,0.00178027
85,3.22768,3.57977,3.57977,0,0.00322768,0,0.00357977,0,0.00357977,3.57977,0,0.00357977
86,4.04432,5.46756,5.46756,0,0.00404432,0,0.00546756,0,0.00546756,5.46756,0,0.00546756
87,8.4593,9.66108,9.66108,0,0.0084593,0,0.00966108,0,0.00966108,9.66108,0,0.00966108
88,10.765,11.4304,11.4304,0,0.010765,0,0.0114304,0,0.0114304,11.4304,0,0.0114304
89,16.1122,16.1122,16.1122,0,0.0161122,0,0.0161122,0,0.0161122,16.1122,0,0.0161122
90,17.007,17.007,17.007,0,0.017007,0,0.017007,0,0.017007,17.007,0,0.017007
91,15.8469,15.8469,15.8469,0,0.0158469,0,0.0158469,0,0.0158469,15.8469,0,0.0158469
92,14.6118,14.6118,14.6118,0,0.0146118,0,0.0146118,0,0.0146118,14.6118,0,0.0146118
93,13.2793,13.2793,13.2793,0,0.0132793,0,0.0132793,0,0.0132793,13.2793,0,0.0132793
94,12.2608,12.2608,12.2608,0,0.0122608,0,0.0122608,0,0.0122608,12.2608,0,0.0122608
95,10.7694,10.7694,10.7694,0,0.0107694,0,0.0107694,0,0.0107694,10.7694,0,0.0107694
96,8.74746,8.74746,8.74746,0,0.00874746,0,0.00874746,0,0.00874746,8.74746,0,0.00874746
97,6.96229,6.96229,6.96229,0,0.00696229,0,0.00696229,0,0.00696229,6.96229,0,0.00696229
98,5.85987,5.85987,5.85987,0,0.00585987,0,0.00585987,0,0.00585987,5.85987,0,0.00585987
99,5.38997,5.38997,5.38997,0,0.00538997,0,0.00538997,0,0.00538997,5.38997,0,0.00538997
100,5.23858,5.23858,5.23858,0,0.00523858,0,0.00523858,0,0.00523858,5.23858,0,0.00523858
101,5.28729,5.28729,5.28729,0,0.00528729,0,0.00528729,0,0.00528729,5.28729,0,0.00528729
102,5.77593,5.77593,5.77593,0,0.00577593,0,0.00577593,0,0.00577593,5.77593,0,0.00577593
103,6.92257,6.92257,6.92257,0,0.00692257,0,0.00692257,0,0.00692257,6.92257,0,0.00692257
104,7.35054,7.35054,7.35054,0,0.00735054,0,0.00735054,0,0.00735054,7.35054,0,0.00735054
105,8.93132,8.93132,8.93132,0,0.00893132,0,0.00893132,0,0.00893132,8.93132,0,0.00893132
106,11.2237,11.2237,11.2237,0,0.0112237,0,0.0112237,0,0.0112237,11.2237,0,0.0112237
107,9.00421,9.00421,9.00421,0,0.00900421,0,0.00900421,0,0.00900421,9.00421,0,0.00900421
108,11.4029,11.4029,11.4029,0,0.0114029,0,0.0114029,0,0.0114029,11.4029,0,0.0114029
109,12.1143,12.1143,12.1143,0,0.0121143,0,0.0121143,0,0.0121143,12.1143,0,0.0121143
110,12.199,12.199,12.199,0,0.012199,0,0.012199,0,0.012199,12.199,0,0.012199
111,12.4499,12.4499,12.4499,0,0.0124499,0,0.0124499,0,0.0124499,12.4499,0,0.0124499
112,14.0198,14.0198,14.0198,0,0.0140198,0,0.0140198,0,0.0140198,14.0198,0,0.0140198
113,17.4837,17.4837,17.4837,0,0.0174837,0,0.0174837,0,0.0174837,17.4837,0,0.0174837
114,17.5714,17.5714,17.5714,0,0.0175714,0,0.0175714,0,0.0175714,17.5714,0,0.0175714
115,16.5176,16.5176,16.5176,0,0.0165176,0,0.0165176,0,0.0165176,16.5176,0,0.0165176
116,14.8674,14.8674,14.8674,0,0.0148674,0,0.0148674,0,0.0148674,14.8674,0,0.0148674
117,13.2786,13.2786,13.2786,0,0.0132786,0,0.0132786,0,0.0132786,13.2786,0,0.0132786
118,12.2309,12.2309,12.2309,0,0.0122309,0,0.0122309,0,0.0122309,12.2309,0,0.0122309
119,10.5693,10.5693,10.5693,0,0.0105693,0,0.0105693,0,0.0105693,10.5693,0,0.0105693
120,8.51963,8.51963,8.51963,0,0.00851963,0,0.00851963,0,0.00851963,8.51963,0,0.00851963
121,6.77943,6.77943,6.77943,0,0.00677943,0,0.00677943,0,0.00677943,6.77943,0,0.00677943
122,5.86961,5.86961,5.86961,0,0.00586961,0,0.00586961,0,0.00586961,5.86961,0,0.00586961
123,5.42219,5.42219,5.42219,0,0.00542219,0,0.00542219,0,0.00542219,5.42219,0,0.00542219
124,5.14265,5.14265,5.14265,0,0.00514265,0,0.00514265,0,0.00514265,5.14265,0,0.00514265
125,5.1419,5.1419,5.1419,0,0.0051419,0,0.0051419,0,0.0051419,5.1419,0,0.0051419
126,5.4754,5.4754,5.4754,0,0.0054754,0,0.0054754,0,0.0054754,5.4754,0,0.0054754
127,6.27431,6.27431,6.27431,0,0.00627431,0,0.00627431,0,0.00627431,6.27431,0,0.00627431
128,7.43179,7.43179,7.43179,0,0.00743179,0,0.00743179,0,0.00743179,7.43179,0,0.00743179
129,7.92259,7.92259,7.92259,0,0.00792259,0,0.00792259,0,0.00792259,7.92259,0,0.00792259
130,5.95213,5.95213,5.95213,0,0.00595213,0,0.00595213,0,0.00595213,5.95213,0,0.00595213
131,7.94633,7.94633,7.94633,0,0.00794633,0,0.00794633,0,0.00794633,7.94633,0,0.00794633
132,8.2395,8.2395,8.2395,0,0.0082395,0,0.0082395,0,0.0082395,8.2395,0,0.0082395
133,9.98235,9.98235,9.98235,0,0.00998235,0,0.00998235,0,0.00998235,9.98235,0,0.00998235
134,10.6093,10.6093,10.6093,0,0.0106093,0,0.0106093,0,0.0106093,10.6093,0,0.0106093
135,12.0569,12.0569,12.0569,0,0.0120569,0,0.0120569,0,0.0120569,12.0569,0,0.0120569
136,13.6675,13.6675,13.6675,0,0.0136675,0,0.0136675,0,0.0136675,13.6675,0,0.0136675
137,17.1569,17.1569,17.1569,0,0.0171569,0,0.0171569,0,0.0171569,17.1569,0,0.0171569
138,17.8809,17.8809,17.8809,0,0.0178809,0,0.0178809,0,0.0178809,17.8809,0,0.0178809
