"time_step,me,e,d,S1_G,S1_L,S2_G,S2_L,l,S3_G,S3_L,B_gen,B_L"
"60,-24.848,-23.3869,-23.1445,0.0233869,0,0.0231445,0,-16.3555,0.0163555,0,0.024848,0"
"61,-42.601,-38.3999,-42.5158,0.0383999,0,0.0425158,0,-39.9066,0.0399066,0,0.042601,0"
"62,-38.2345,-36.5587,-38.2302,0.0365587,0,0.0382302,0,-36.747,0.036747,0,0.0382345,0"
"63,-34.262,-32.3173,-34.2618,0.0323173,0,0.0342618,0,-33.7899,0.0337899,0,0.034262,0"
"64,-14.891,-17.8387,-14.891,0.0178387,0,0.014891,0,-14.8674,0.0148674,0,0.014891,0"
"65,-4.014,-4.29975,-4.014,0.00429975,0,0.004014,0,-4.01282,0.00401282,0,0.004014,0"
"66,4.269,-0.819753,0.21345,0.000819753,0,0,0.00021345,0.21345,0,0.00021345,0,0.004269"
"67,7.794,0.7507,0.3897,0,0.0007507,0,0.0003897,0.3897,0,0.0003897,0,0.007794"
"68,9.033,2.98055,0.45165,0,0.00298055,0,0.00045165,0.45165,0,0.00045165,0,0.009033"
"69,6.677,3.72155,0.33385,0,0.00372155,0,0.00033385,2.17557,0,0.00217557,0,0.006677"
"70,4.718,2.2632,0.2359,0,0.0022632,0,0.0002359,1.925,0,0.001925,0,0.004718"
"71,6.167,1.6203,0.30835,0,0.0016203,0,0.00030835,1.2612,0,0.0012612,0,0.006167"
"72,7.249,2.15985,0.36245,0,0.00215985,0,0.00036245,1.26053,0,0.00126053,0,0.007249"
"73,6.483,2.69345,0.32415,0,0.00269345,0,0.00032415,1.8128,0,0.0018128,0,0.006483"
"74,7.244,3.7955,0.3622,0,0.0037955,0,0.0003622,3.18278,0,0.00318278,0,0.007244"
"75,6.265,3.87287,0.31325,0,0.00387287,0,0.00031325,3.61141,0,0.00361141,0,0.006265"
"76,7.12,5.10125,6.88155,0,0.00510125,0,0.00688155,4.66454,0,0.00466454,0,0.00712"
"77,3.298,2.4316,3.298,0,0.0024316,0,0.003298,1.76366,0,0.00176366,0,0.003298"
